lon,lat,target,slope,landuse,panarcurvature,profilecurvature,NDVI,Soil,sratumboundarydistance,geomorphictype,fracturedistance,geologicalrockdistance,rivernetworkdistance,DEM,geologicalstructure
109.563608539364,27.109779039470887,0,-0.024972405,-0.29650906,-0.05008363,-0.09718881,-0.48711532,0.12438375,0.08574249,0.3385595,-0.03502916,-0.16373935,-0.09390611,-0.3073138,0.08411552
109.34223987978868,27.35607175289408,0,-0.27876917,-0.29650906,-0.10880066,-0.015129578,-0.6497661,-0.18903372,0.08574249,-0.10804622,0.13058236,-0.5101453,0.073407084,-0.06782815,0.08411552
109.597500422,26.4758501617,1,0.21731925,-0.29650906,0.061805528,-0.015129578,-0.6497661,-0.18903372,0.0,-0.20597248,-0.047372606,0.11367501,0.05248923,0.2176154,0.0
110.948333106,28.0011205336,1,-0.09854903,-0.29650906,-0.43201327,0.18452314,0.61501485,0.12438375,0.07058494,-0.20597248,-0.076221325,0.14363644,-0.09390611,-0.3073138,0.08240824
110.9004212044302,28.877155381090557,0,-0.09854903,-0.29650906,-0.10880066,0.15478253,-0.6497661,0.12438375,0.07058494,0.17795748,-0.07512392,-0.3798687,-0.1736689,0.2176154,0.08240824
109.59455232833751,26.69853545568489,0,0.24909371,-0.29650906,0.061805528,-0.25610235,-0.6497661,0.12438375,0.07058494,0.3385595,-0.03502916,-0.26613727,-0.1736689,-0.06782815,0.08240824
109.46277983,27.7844536866,1,-0.27876917,-0.29650906,-0.43201327,-0.04824313,0.62931603,-0.18903372,0.07058494,0.007639452,0.13058236,-0.16373935,0.35190687,0.2176154,0.0
109.9769827152317,26.74551282045492,0,-0.09854903,-0.29650906,-0.05008363,-0.09718881,-0.6497661,0.12438375,0.089618094,-0.20597248,0.031020287,0.2797376,-0.1736689,0.2176154,0.08431814
109.53638784040916,27.58476587630722,0,-0.09854903,-0.29650906,-0.32781467,-0.25610235,-0.6497661,-0.18903372,-0.1107438,-0.10804622,-0.047372606,0.11367501,0.2191999,-0.5392109,-0.11980563
109.365279589,27.4519536332,1,-0.09854903,0.5953779,0.13169196,0.18452314,0.61501485,-0.18903372,-0.1107438,0.17795748,-0.03502916,-0.16373935,-0.09390611,-0.06782815,-0.11980563
110.248336439,27.6422330949,1,0.21731925,-0.29650906,0.13169196,0.18452314,0.6621341,-0.1449181,-0.1107438,-0.10804622,0.13058236,-0.16373935,0.0,-0.3073138,-0.11980563
110.25942266477328,28.19234166066794,0,-0.024972405,-0.29650906,0.019793568,0.15478253,-0.6497661,0.12438375,-0.1107438,0.17795748,0.13058236,-0.3798687,-0.09390611,0.44918767,-0.11980563
110.464717915,27.420008755,1,0.24909371,-0.29650906,0.019793568,0.18452314,0.19743492,0.20304403,0.089618094,0.11376916,-0.03502916,0.2797376,-0.09390611,-0.5392109,0.08431814
110.05688280872562,27.76691651877609,0,-0.09854903,0.5953779,0.061805528,-0.09718881,0.061717357,-0.1449181,-0.04714875,0.17795748,0.13058236,0.14363644,-0.09390611,0.44918767,-0.045858987
109.551946923,26.0783424175,1,-0.024972405,0.5953779,0.019793568,0.18452314,0.6621341,0.12438375,0.07058494,0.11376916,0.031020287,0.15690637,0.073407084,-0.3073138,0.08240824
110.056387296,27.0116822723,1,0.24909371,-0.29650906,0.061805528,-0.09718881,-0.6497661,-0.18903372,0.089618094,-0.10804622,0.010857516,0.2797376,0.073407084,-0.3073138,0.08431814
109.771109019,27.3627890998,1,0.24909371,0.5953779,0.13169196,-0.015129578,0.62931603,-0.1449181,0.077572934,0.17795748,0.13058236,0.11367501,0.05248923,0.2176154,0.0634597
